Q9FHH5	GDU3
P36967	scsA
Q8BG79	Cwf19l2
Q2TBE0	CWF19L2
Q9VXT5	CG9213
Q9M2A1	At3g42630
F4JN35	NTL9
P48485	TOPP5
E9Q349	Wdr25
Q64LD2	WDR25
Q9D0B0	Srsf9
P92514	At2g07687
P92514	COX3
Q8VZS0	PNC2
Q80ZH1	HDAC5
Q8W3Z3	CASBPX2
Q54RV9	sglA
Q5N8Q3	PSS3
F4HXY7	PSS1
Q0JR55	PSS1
Q94K98	At1g27200
Q1H5D2	GET1
O32978	cysK
Q6YRM6	Os08g0121900
O65896	CDA1
D1FP53	LIN
P92973	CCA1
Q8L5U0	CSN4
Q9MAX3	2
Q9MAX3	SULTR1
Q7TQC7	Gpatch2
O22190	GH3.3
Q0D4Z6	GH3.8
O82333	GH3.1
Q9SZT9	GH3.2
P0C0M2	GH3.2
P0CG60	UBB
Q8SWD4	ECU02_0740i
Q40289	GT7
Q9LFJ9	UGT78D4
Q28I38	dnajb14
Q9LIQ4	THIM
A2Z3C4	OsI_031067
Q5RD67	SLC25A44
Q8VD72	Ttc8
Q9LVM1	ABCB25
Q6H3Y7	GDH3
Q6MEN8	pdxS
Q05045	CPN60-1
O14018	SPAC29A4.15
O89046	Coro1b
P34624	cyy-1
P73270	speB2
Q6YPD0	HOX27
A2Z1U1	HOX11
Q67UE2	HOX11
P46665	HAT14
Q3TMX7	Qsox2
Q8JGM4	QSOX1
O08841	QSOX1
Q8L5Y9	PANK2
Q9S9V9	FBL23
P82280	RAV2
Q1PEN0	RLP36
Q7XVF9	Os04g0403701
Q8GWE0	P67
C0LGJ1	At1g74360
Q9LJF3	BRL3
Q67X31	SERK3
Q5XF59	At3g60510
Q8RXN4	At4g31810
Q683C9	AUR2
P22954	HSP70-2
Q39QP7	lon
A8E657	AASS
Q9ZPS3	GAD4
Q9FJX2	RPL26B
P0CQ58	RPS1
Q9LNC6	TOL2
O49931	TIC55
Q54TC2	adh5
B9FSC8	OPR11
Q338C0	Os10g0415800
O49605	CYP21-1
Q55B06	DDB_G0271664
B3H5R0	At2g41451
Q5XV99	At3g57200
Q9C9Z9	ELD1
Q976C3	STK_02580
Q6ZI50	NAR2.1
P9WQ15	aofH
Q9LJY0	PRK4
Q40902	PRK1
A8MQA3	PCMP-H28
Q9CAP8	LACS9
Q39688	EP1
O65082	SB62
Q9FPG2	OEP21B
Q8W4J3	QSOX1
Q8IWJ2	GCC2
Q9LIM6	At3g26490
Q55DP8	acy1
F4KFC7	MED26C
Q0DCM5	MAN6
Q0WQ41	IP5P7
Q9M146	MGP4
P53980	YNL011C
Q9CA79	DPMS2
Q9LYE3	ASI1
A5PKH3	FAH
P52551	mybl2
B5XAM2	mrpl58
L7WRZ7	notR'
Q9M9M6	At3g03070
P42678	eIF1
Q9SS81	At3g09060
Q9SKZ2	CAF1-7
Q75HZ9	SPS2
Q0INZ4	SPS3
Q8S948	SPS1
O80439	RPS31
Q5Z974	FTSH1
Q7XBW0	ITPK5
Q9LT17	BBR
P35559	Ide
Q8H936	CSN5
Q9LH84	At3g28510
Q9LJJ7	At3g28580
Q9FLD5	AATP1
Q9LES4	L2HGDH
Q84VQ1	KINB1
Q7XHI9	BHLH84
Q84WK0	RSL2
Q9LW15	COX5B-1
Q43831	CPN60
Q9T075	RMD5
Q4W9G3	icsB
Q6DGZ0	gpatch11
Q95UN8	slpr
Q9P4S5	CCA1
P63326	Rps10
P31254	Uba1y
F4I312	VPS3
Q8LE98	ICR1
Q9FLB6	PRA1B3
Q9C9B0	UGT89B1
Q9FUW6	BETV6
O62518	ZK795.3
Q9C9V9	COG5
Q9FNJ9	At5g22620
Q5XF85	ATL42
P0CT61	rpl2302
Q9LV35	AIP1-2
D2CSU4	CM1
Q84WW3	VIP2
Q86B05	rlp24
F4HW65	At1g14460
Q9FFF6	JOX2
Q9LEX0	PP2A13
Q9LN77	P2A12
O04086	At1g11050
F4I3V3	LRK10L-1.5
A0A142C7A0	phnB
Q8H7L6	APY1
Q8GWW6	4MMP
Q5R7X9	RAD1
Q3V521	psbJ
Q6WLH4	SMH3
Q8L751	ORP1C
Q5R0H4	IL0389
Q13555	CAMK2G
P51869	Cyp4f4
Q61792	Lasp1
Q3ZCB8	EMC3
Q7SXW4	emc3
O82730	MGD2
Q8L3Z8	FZR2
Q39XZ1	rplF
P90727	uaf-1
O95562	SFT2D2
Q9SJF1	LSG1-2
Q7UX15	lepA1
P37832	TUBB7
Q9W1H4	DNAlig1
Q8H0B2	UEL-3
P11181	DBT
A8MPR5	FTSHI2
Q1PDV2	SCL28
P69061	ubi3
Q5UNY4	MIMI_L728
F4J1U4	KIN12E
O82204	RPL28A
Q94B65	UTR7
Q5REV9	SLC34A2
P37574	yacP
Q0JGY1	RPL5A
Q40251	VDE1
E9Q3E1	Aldh3b2
Q7SYR1	osgep
B8ZXI1	Qtrt2
Q9LQQ2	RAD51D
P38889	SKN7
Q9LVS0	KUA1
Q7XC57	MYBS3
P61866	rpl-12
Q9LSQ5	FQR1
O65751	RAP40
Q43070	GALE
P07602	PSAP
Q9M8S0	MBS1
P42695	NCAPD3
Q6D736	lacZ
A1SWB8	lacZ
Q03WL0	lacZ
Q7XHI5	BHLH133
P06280	GLA
P86472	CYT1
Q69ZF3	Gba2
Q94E75	SPP1
Q94K05	CCT8
Q39030	ATPK2
O34921	ytoI
O80567	LARP6B
Q6LA54	SPAC3H5.08c
Q6BV42	NPC2
O94183	pltp
Q9S7U9	MKK2
Q7TND5	Rpf1
Q8AVP1	rpf1
Q5R631	RPF1
Q8T199	omt3
P37900	HSP1
P04783	CAB91R
Q946J2	SUVR1
Q0WMV8	At1g07170
Q811G0	Bbs9
Q53P85	CPK24
A0A161IUT7	DGAT1
Q8RWR2	LARP1B
Q84TI3	OBE4
Q9SX80	RBP47C'
Q9LEB3	RBP47
Q9SQ56	RggA
Q43316	HEMC
Q9FY93	NAC083
Q9FIM9	CRK4
Q9SCS2	CRK5
Q9ZUZ2	CRK3
Q9C551	RH5
Q923W1	Tgs1
Q96RS0	TGS1
Q9SJX7	RUS2
Q42262	RPS3AB
O49901	ZDS1
Q949W6	KAKU4
Q9LVQ7	ENY
Q6K271	FCA
B8BCZ8	FCA
P48496	TPIP1
A2QVV2	creC
P16425	R1A1-element\ORF2
Q5ZMJ9	SRRM1
Q52KI8	Srrm1
Q9USH5	SPCC825.05c
Q9LND4	PCMP-E61
Q84WU9	At5g56900
Q9SZ52	PGR3
O49711	At4g21880
Q6P4R8	NFRKB
Q54UU1	trappc4
Q6P4Y0	cdkal1
F1QFS9	usp13
Q9FQ25	TON1A
A4VMU6	sthA
P80695	maoA
Q5Z9Z3	Os06g0320000
Q9FMN4	At5g42850
Q9HBG4	ATP6V0A4
Q9WV06	Ankrd2
Q944P7	LAP2
Q69T58	ROC8
O44001	HSP90
P07342	ILV2
D4HRL0	GH7B
Q9SCU1	PATL6
Q3E9X6	CRK21
Q9LDT0	CRK30
P38129	TAF5
P50350	chvI
Q8VXZ9	RBP47B'
Q9LYZ9	At5g02860
Q9SU13	FLA2
Q9FNP8	RPS19C
Q96W55	RPL39
Q803I8	syvn1
P38420	NRPB2
Q9LZF8	PCRK2
P04778	LHCB1.3
Q9LZN2	PILS6
Q8VYT5	At5g07670
Q9ZCQ8	rplB
Q94BP0	SLK2
Q94LW3	HOS66
O04883	PLD1
Q66GR3	BHLH130
Q9LR69	PCMP-E4
Q9S7V4	HVA22A
Q6NS26	cdkal1
O22025	Rca
Q8C8R3	Ank2
P51228	cfxQ
Q9LKC0	YUC5
Q9DE26	ruvbl1
Q9ZRV4	MLH1
B9FK36	ACC2
P32429	RPL7A
B5DE69	chd8
P93303	At2g07707
P93303	YMF19
Q9FY64	RPS15D
O65059	RPS15
Q4KYY3	GAPDH
Q42602	CYP89A2
Q9LXV5	NFYA1
Q9ZNV9	AHP1
Q17RW2	COL24A1
P91285	dpy-5
Q54DU9	DDB_G0292024
A2VDT1	PTP4A3
P69551	psbA
O22607	MSI4
Q8H104	At4g26870
P33285	RPS28
P0AFR6	yciO
Q94JX6	At5g18390
Q54LN2	vps13D
Q2TCH3	ACLY
Q9LST7	PBC1
B3RFJ6	CYP86A22
Q3MBA3	leuA
Q9M5P2	SCAMP3
Q9SRN0	NHL1
Q39092	ZAT1
O80800	MTACP2
Q9DCB4	Arpp21
Q9M8T9	MCC1
Q9FYG2	CAMTA4
Q9MB46	VATE
Q3MHV9	SERINC1
O23888	AO2
P63088	Ppp1cc
Q9T0P4	GLU2
P9WGT1	fabG3
Q49WS9	SSP1627
Q9M9Y4	DRIP1
Q94AY3	DRIP2
Q9LU47	PUB53
Q8VYK4	NFYB8
O04147	At4g18930
Q9FVU0	CYB
Q99627	COPS8
Q9ZQQ0	SCPL26
O02607	AROC
Q9FF55	PDIL1-4
Q8VX13	PDIL1-3
Q9SU38	APT4
Q9LNJ9	FKGP
Q8RZB5	CML10
C5YJG8	CPR
Q8VYN9	PHOS32
Q0V7V2	PP2C42
Q5ZL42	BZW2
O81862	ChiC
O31398	ykwD
Q8RXZ4	At1g79630
O64814	NPY4
Q9FKK6	At5g60370
Q680C0	At4g10955
O94336	SPBC1271.03c
Q8S7W0	CSLA4
Q8W4D0	CYP71
Q0WTB4	At3g49725
Q5Q0E6	MTOPVIB
Q9LPC4	At1g01970
Q5M868	Gba2
Q8NJ72	ICL1
P35814	PPM1A
Q21930	rpl-28
Q94HF1	TIF3K1
Q0JKV1	AKT1
O04153	CRT3
P48483	TOPP3
O61722	PRL-1
Q6FUD0	URA7
Q9LUH3	DTX18
Q8W488	DTX21
Q17TI5	BRX
Q6K7R2	IRL6
Q6AT90	APG
Q54DD7	DDB_G0292320
Q9LQX5	MYB117
Q8RY11	APP2
Q9LUR0	CAPH2
Q28TJ8	atpA
Q9LUI1	LRX6
W5X2N3	AP
Q9URY7	SPAC869.04
Q0WLC6	MRL1
P53028	RPL10A
Q53YF3	At5g27430
Q9M347	TRP6
Q8LDF9	HMGB7
Q8LPT1	ABCB6
Q5JNB5	P58B
A0A060KY90	MYC1
O23090	BHLH14
P40590	RPL34
Q9SI53	PCMP-H44
Q2QQR2	CPK27
P26990	ARF6
P08524	ERG20
Q66GR6	WHY3
Q9LL85	WHY1
Q6Z517	SMAX1L
Q93WI0	At5g19370
Q8CGC7	Eprs1
A2BYM5	clpS
Q6YT73	GLO5
Q5JMM1	ARF3
Q9ZU70	ATHB-21
Q9LK88	NQR
Q9SIC9	GUN1
Q8HXY0	ETFA
G3XKQ9	LAX2
Q90YW0	rpl9
Q15034	HERC3
Q9P258	RCC2
Q43127	GLN2
Q9SJZ7	DJA6
Q52438	bphA1
Q8RX86	AGAL2
F4HRC1	THO5A
Q8RWF4	At3g26670
A7S3I2	bbip1
Q9SEL5	VTI12
Q94AX4	DLD
Q54KX3	vps13F
D5VGV3	rutD
B7KWT4	rutD
Q8BUL6	Plekha1
P18161	splB
Q9LFG1	At3g53590
C0LGD7	At1g06840
Q9FGT8	TIL
F4ICB6	IBS1
Q8H191	PAO4
Q7XI40	URA6
O04905	UMK3
Q940M2	AGT2
P48630	FAD2-1
Q9FKF9	At5g61620
Q9SDX3	UGPA
Q8DJB3	grpE
O22446	HDA19
Q7Y0Y8	HDAC1
P15426	TPI1
Q4PJX1	Odr4
Q5R6E9	ODR4
P16929	acu-5
P30188	CML35
P19252	AS2
Q9ZUX1	CYP94C1
O22860	RPL38A
O22860	RPL38B
Q9USY2	SPBC1861.04c
Q41578	PORA
Q9D6T1	Tube1
P57093	Phyh
Q96EQ0	SGTB
Q8RH03	dnaJ
Q9FNX8	LOX4
R9WTS6	LOX1
Q8VZD5	ASK5
Q40518	NTK-1
Q39011	ASK7
A4FUZ0	KRT83
Q43054	CYP73A16
Q8R3D1	Tbc1d13
Q02896	YDC1
P51567	AFC2
P51566	AFC1
P49592	DR1
O49543	NIFS1
Q6LAF1	H4DEKL
A7MAS5	UGT75L17
Q9ZR25	HGT8
P54873	HMGS
A9AUN9	tpiA
P73300	rpmJ
C0LGV1	RGI2
Q8L743	G6PD3
Q75IZ7	NFYB8
Q69J40	NFYB10
Q9FE01	APX2
Q6Z156	PHR2
Q6NQI8	LOH3
Q0V9J5	eif1ad
Q8TGB2	GPI7
Q6DGA6	allc
D2XNR2	FLOT6
Q03091	bsn
A1AL40	rlmN
Q2S0P9	rlmN
A0LV48	rlmN
O48646	GPX6
Q9T048	At4g27190
Q0DC89	MSRB1
Q9C8M2	MSRB1
Q6QJ72	PDL2
O35704	Sptlc1
O49068	TUBG2
Q5N6V8	RR26
Q8H1E3	PBL17
Q10251	SPAC56F8.03
Q9SY09	SMD1B
Q8W4C8	ARL8C
P49397	RPS3A
Q9SAH9	CCR2
Q6K9A2	CCR1
Q8S8K6	SCPL28
Q9S7W5	TCP13
D0N381	PITG_05601
Q9FY74	CAMTA1
Q6Z3U3	Os07g0679700
Q5CCK4	VAL2
K4GKX2	UGT73C10
Q86K21	cpnB-1
Q86K21	cpnB-2
Q3ZC26	SLC5A11
O94502	SPBC12D12.05c
Q9ZT42	RHF2A
Q5K5B6	Os07g0647900
Q3T168	CACYBP
Q6NPN5	At5g26960
P21533	Rpl6
P54774	CDC48
Q54QA6	trmt11
Q0VC80	YRDC
Q53JI9	SPS5
F4JLK2	SPS4
Q9LJK1	FUT11
P05095	abpA
Q9LTB8	CBL9
Q9M364	ATX3
A4WU33	nuoB2
P98012	COX2
Q02226	COX2
Q9PT92	cat
P0C8Q9	At5g19025
Q3J4E3	pccB
Q0WUG6	SBT6.1
F4HRT5	CRWN1
I0J0E7	NMCP1
Q9LMM2	FRO1
F4IDB2	PHL
Q07903	CYIIA
P61928	Rpl37
P82191	RPL3
O60136	SPBC18H10.05
Q6NVE8	Wdr44
Q402F3	TOM3
Q9FG01	ATO
C0PEY7	PYG7
B9DHG0	PYG7
Q9UT09	aro4
Q5ZLH4	TMEM230
Q3E911	At5g27460
Q7XA73	TIFY4A
Q9ZRB1	TUBB2
Q9ZRB0	TUBB3
P25862	TUBB1
Q8GY55	TIFY4B
Q9WV72	Asb3
Q9XHE4	RPL37A
Q9SZB6	WEL1
Q9Y751	ATG26
P32746	PYRD
Q8LDR0	DOF5.4
Q944C2	PLC5
Q03015	nuo-12.3
A3AF13	UBP26
Q9SCJ9	UBP26
A2XDG4	UBP26
Q54CW7	rtpR
Q8W0Z6	AP5M
P45890	Arp6
Q9SH89	OFUT19
Q9SUL7	CIPK4
Q8RXP6	WAV2
O82279	CGL160
Q852N2	AGO13
Q6NYH1	ift122
Q110Q9	mnmG
B1XJY4	mnmG
Q8YR87	mnmG
A3PFG3	mnmG
Q949U4	OFUT16
Q9SVE6	RHS17
P37610	tauD
Q9LHF1	LRX4
Q9XIB6	PEX2
Q9LRE6	POLD1
P15368	FAS2
Q9ZNS2	GH3.10
Q9LJZ5	UBC19
Q0VFE3	pgap3
Q9LT27	At3g19810
Q90YS2	rps3
Q9ZPX9	KIC
Q7F613	SCAMP2
A2YMP7	SCAMP1
Q40554	TIF3A1
Q9XHR2	TIF3A1
Q9LD55	TIF3A1
P46466	TBP2
P93259	GBF
H1A981	CYP72A63
P28568	SLC2A3
Q8L4A7	PAB2
Q8LAD0	PDX2
Q9FLA5	ARAD2
Q6DBG8	ARAD1
Q9SAV3	BCDH BETA1
O34662	yodT
Q9SGP2	HSL1
Q8R0A0	Gtf2f2
Q8VWK4	TRB1
Q8BLX4	Slc35c1
Q32RK9	atpH
A9QC36	atpH
Q19VA3	atpH
A5GND2	atpE
Q0ZJ35	atpA
Q2L8Z1	atpA
Q09G61	atpA
P08282	GS1
Q9HY42	PA3578
Q4QQW3	Adhfe1
Q8VYR2	NUDT9
Q9LZV7	PXC2
P09525	ANXA4
Q2VEX9	CRTISO
Q52QW3	CRTISO1
O22647	RPS16
Q6NZH4	pafah1b1
Q9SF32	IQD1
Q93ZH7	IQD2
P93394	UPP
Q9M336	UPP
Q00771	cmkA
Q55512	asd
Q962R9	RpS10
Q9FN48	CAS
Q8RUD6	HAC1
Q9CR41	Hypk
Q9LET1	CRK7
Q9M8R9	At3g02770
O97508	TXN
Q9M2C3	At3g43630
Q54G80	gtf2a1
O08949	Gtf2a1
P52655	GTF2A1
P82995	Hsp90aa1
Q7XR83	2ODD21
Q9FH02	FTSH5
Q05744	CTSD
Q5N725	FBA3
O65735	ALDC
Q5JMR9	Os01g0963400
Q8LI34	Os07g0626600
Q10330	rpl2501
Q9SJK6	WBC30
P73335	dtd3
Q8L540	LTO1
Q766C3	nep1
P78929	cof1
P92980	APR3
Q2QM17	YAB6
Q9XF87	LHCB2.4
Q8VZ37	At3g50860
F4HNU8	OFP4
Q9C664	TTM2
Q9C9B9	TTM1
Q0U7W4	CCR4
Q9MAB3	NOP5-2
Q8JGW0	thbs4b
Q9M1P7	BOR2
A9L984	atpI
O80653	SKIP
O23507	1MMP
O81916	At1g02270
Q8H173	RPSaB
P44797	purB
Q9G6J1	COI
Q8LAH8	NDK4
Q8S9Z2	Os01g0969100
Q10258	met9
Q91W90	Txndc5
O22227	MIZ1
Q6ZGL4	ATG5
P46637	ARGAH1
Q5A3M6	MCD4
P36444	MODA
Q27894	his-20
Q27894	his-22
Q27894	his-4
Q27894	his-52
Q27894	his-54
Q27894	his-8
Q7DNC3	MPT1
Q7TNK0	Serinc1
P06795	Abcb1b
P04780	CAB22L
P27495	CAB40
P27492	CAB16
Q9LDN1	CRK33
P53536	PHO1
P53535	STP-1
Q8LPZ7	CPK3
Q0E0Y3	Os02g0512300
Q8N5M1	ATPAF2
O22254	RPL18A
C0LGU1	At5g37450
Q9XIV8	poxN1
Q9S9M5	WAKL1
Q9LMN7	WAK5
Q6IDS6	MKRN
Q0P5N6	ARL16
O23320	CML8
F6XBL2	psmd11
O49429	MORF1
Q43845	SPS
Q6ZHZ1	SPS4
P87131	cys12
Q9FLX8	WRKY27
Q10S70	EXLA1
Q7XCL0	EXLA2
Q9SH30	HMA5
Q9MBH1	AIG2C
Q8LA53	MBD2
Q56XV8	CPN60A2
Q8VYD6	CBSPPR1
A5HEI1	SCC2
Q8L7T3	UBC20
Q54XS6	ube2c
P49364	GDCST
O49849	GDCST
Q9M015	At5g01610
Q55F69	alg3
Q5ZHV5	JMJD4
Q8BFT6	Jmjd4
Q9UI17	DMGDH
Q86UK7	ZNF598
Q7Q323	Fen1
Q8GY89	SRX
Q3E9F0	At5g18475
O65202	ACX1
Q9ZQP2	ACX1.2
Q7XC35	CYCP4-1
O49394	CYP82C2
Q9XI36	MBD10
Q99YU0	asnA
Q5HZL1	eri2
Q0JKX1	HOX3
Q0BSK3	nuoB
Q6NLS8	At5g19830
P43004	SLC1A2
P24942	Slc1a3
Q4R8Z2	RPL13A
Q949Q5	PSAO
Q2KMM2	Trappc1
Q557G3	trappc1-1
Q557G3	trappc1-2
C0SJS3	CYP71AJ4
P40035	PIC2
Q8MXY0	amtC
Q58739	amt2
P60484	PTEN
A1UTH4	rplY
Q9XIK0	PRIN2
Q9T0A0	LACS4
Q84P23	4CLL9
Q7VKC4	rsmB
Q8CCT7	Nsun3
Q0P5D8	NSUN3
Q6PI98	INO80C
Q8BHA0	Ino80c
Q9SKB6	MRL7L
Q9P289	STK26
Q9FLL3	At5g41170
Q0WQK2	PAT07
Q9Z0N2	Eif2s3y
Q5XEZ5	CSC1
P31161	sod-2
Q9MA75	VIP1
O49564	CRK27
P51555	ENO
Q8VYK7	ATG8F
P42814	RNS2
Q8GW48	HSBP
P93030	RMA2
Q94DE2	Os01g0857700
Q94DE2	Os04g0646100
Q9FKC3	At5g48730
O48922	CYP98A2
A2Q8L1	sec23
Q68RU2	rpl2-A
Q68RU2	rpl2-B
Q149C2	Traf3ip1
Q9LME4	At1g22280
Q9C6I6	ETFA
Q8H1P9	MYB3R3
P15732	UBC5
Q66GP0	SR1IP1
Q9SQ80	GA2OX1
Q42521	GAD1
Q55C80	wdr85
P20649	AHA1
Q9FN51	TET12
P27489	CAB13
Q8WWQ8	STAB2
Q5TC12	ATPAF1
P0C8Q4	At4g19900
Q67XL4	At3g25440
Q0WQ57	At4g12770
Q1RKN3	tlh2
Q54YB3	tstE
Q9SK82	UGT85A1
Q941I6	PMS1
P48622	FAD8
P48620	FAD7
Q9SJF0	BSL2
B2ZX90	FSM
Q10M00	Os03g0328900
Q6PFM0	jmjd6
Q8LGD5	MKS1
Q9SZ54	GPX7
P50061	sodB
Q8L7W5	SMO1-1
Q1PF35	RIC6
Q1G3K8	RIC7
F4IVV0	RIC1
Q9FHR8	DCI1
B5FXE5	AIFM2
O04865	PLD1
Q9FIV6	DEGP10
Q9LPD2	GEN1
Q9M0L0	DREB1A
Q64MA3	RAD
Q9C907	GDPD5
Q38845	PP2AA1
Q6AYH9	Dnaaf1
Q978J0	TV1425
Q8MNV7	smrc-1
P34795	PGIC
Q55AD9	arl5
Q9JM98	Wrap73
Q84K47	ABCA2
Q680Q4	SIZ1
P48147	PREP
Q1EC69	SMO1-2
Q2H080	MRPL4
O04492	DRB1
Q99816	TSG101
Q7U8K7	hisD
Q9FMR1	ROPGAP1
Q8DG98	rlmN
Q7U8K0	rlmN
Q03033	TEF1
Q93Z00	TCP14
Q69V23	CESA3
O04012	ABP19B
Q5RKG2	Hcfc2
D3UAG7	UGT88F3
Q6DKE0	dhdh
P60406	rpl2-A
P60406	rpl2-B
Q54I57	mycbp
A2XUN8	OsI_16324
Q8H1F9	PCH2
Q39572	YPTC6
Q9FMM4	RHG1A
Q43814	ARGF
Q10344	p23fy
Q91VB2	Camk1g
O13614	rps1002
Q6PAV2	Herc4
G5E8K5	Ank3
Q92625	ANKS1A
Q28CH8	yipf6
O74164	HMG
Q75HV0	CYCP3-1
Q9FGL9	At5g53180
Q1EPG6	MA4_106O17.52
F4JEQ2	PBL23
P35017	SODA
Q3TZ87	Marchf9
Q9VYA7	CG2691
B9L0W3	guaA
Q76LC6	rbm24
Q0JDM0	Os04g0394300
Q9SSS9	ATPD
Q9USM4	usp106
Q6P8E9	snu13
Q9LRI7	OSR8
A7NW78	VIT_05s0020g01820
Q9SV26	PCMP-H65
Q9FM64	CRR21
Q9FLQ4	At5g55070
Q8LF97	ASK21
A8MQG7	ASK20
Q8LFQ6	GRXC4
A7SGU6	psmg2
Q5ZIK6	BSDC1
Q42290	MPPbeta
A8MS41	CCR4-4
Q43876	SPS
P31928	SPS1
P36181	HSC80
A8MR93	ALG12
Q9M330	At3g53970
Q9LBG2	lvr
Q55EL3	udkA
O80506	FLZ3
Q6VPV2	Plesd1
Q6GM65	plaa
O04834	SAR1A
D4A7V9	Eif2ak4
F4IQK5	At2g18540
Q6ID99	OEP21A
Q9U969	sws
P12302	PSBP
P93566	PSBP
O49344	PSBP2
P93847	RPL10
Q2HJH6	SNRNP40
P31851	tabA
B9FI63	Os05g0567300
Q24JJ9	NUP43
Q8RXK6	RH8
Q9SN11	CYCD3-3
P42753	CYCD3-1
A2XAY1	GL1-6
Q7TQA3	Sdr16c5
Q38876	AGL8
P49227	RPL5B
Q8LBI1	RPL5A
Q9SI75	CPEFG
Q869R9	mybJ
O81433	ISU3
Q9LS72	PCMP-E27
Q8K1A0	Mettl5
Q29RK2	PC
B3DJT0	sart3
O15440	ABCC5
Q8BTW8	Cdk5rap1
Q501H5	SFH13
F4HP88	SFH4
Q38945	AHL
O57561	rpl18a
P25076	CYCL
Q84MA2	IP5P1
F4JT98	SLK3
Q0WVM7	SLK1
P0C550	AKT1
Q5Z8Z7	Os06g0563300
Q42796	FBP
Q6NVS2	ergic3
Q5EAE0	ERGIC3
Q84K90	RHIP1
Q5ZID0	NMRAL1
O81416	At4g02290
Q5N941	Os01g0870100
Q4FZW5	seh1l-a
Q9SRI1	SEC13A
F4KCL7	OM64
B0TCR1	leuA
Q6NLC8	At1g66480
Q9FME4	PNM1
P29195	PEPC
Q5ZUH9	msbA
Q9FE46	GSTF12
Q8GYP3	RDM4
F4I340	SEI2
Q4FP37	atpG
P94464	rsmB
Q9AUV6	UGD3
Q9GUM2	bre-4
Q8L770	CLPR3
Q9MA85	PCMP-E83
Q43735	PER27
Q8W405	PGT-1
Q2KIQ4	COQ2
Q93YP7	PPT1
Q9LZF1	HIPP06
Q42202	RPL40B
P93022	ARF7
A2YAA5	ARF16
Q9SN73	BSD2
Q0D8D4	Os07g0167100
Q84M92	ARP4
Q5AVR1	calA
Q6L8G0	ZIP5
Q9QZR0	Rnf25
A8K979	ERI2
Q10MQ2	AGD2
Q93ZN9	DAP
B6IPI0	truA
Q9FKA0	NAC92
Q9FK44	NAC087
Q9SQQ6	NAC046
Q9ZCR6	rplX
Q9M063	At4g40100
Q9C5C5	At1g07700
Q75GR5	SPIN1
O24496	GLX2-2
B6SFA4	MAA3
Q4G2J4	DER2.1
Q0J954	PAO5
P58684	At2g39960
Q3BAJ7	rpl22
Q9LU85	PAP4
P63174	Rpl38
Q9SJ40	VPS11
Q5ZJK8	CCT7
A5PJP6	BRCC3
Q84JL5	INVH
B9DFA8	INVC
Q9FK88	INVE
Q9M158	STR4
Q6VAB3	UGT85A8
P93401	ND2
F4KDN0	HEN4
A0SWL0	FRL2
Q9LUV4	FRL4A
Q9C6S2	FRL2
Q9FFF1	FRL1
Q8LBA6	PIS1
O65709	FAO4A
Q8VEM1	Rnf130
Q9SZE8	LBD39
Q12672	RPL21B
P0C5E2	LRK10L-1.2
Q9CR57	Rpl14
Q8HXY8	ACADM
Q8L6Z4	RPS9M
Q9ZVH7	FAX3
P9WPZ5	dapC
Q9SJT9	At2g21390
Q0WT31	At2g34300
Q9ZUY6	AXS1
O43181	NDUFS4
Q9LR09	HVA22G
Q8LB72	PHR2
Q5R637	CCT4
Q42997	Os01g0357100
O04133	SRC2
Q9C8J8	ABCG13
Q6DI40	ttc33
P15195	CABF3
O65361	P5CS
A2BRP4	leuA
Q94A87	At1g10090
Q8GUH7	HYP1
Q3E9B5	NPF7.1
A3KPP4	slc25a35
P02580	SAC3
Q94A21	SPX4
O48923	CYP71D10
Q9HCG7	GBA2
C5FHU9	sconC
P0C895	At2g30105
Q9H1I8	ASCC2
Q8VY88	LTD
O80575	At2g44050
Q05052	DDOST
Q1G3U6	PCO3
A7IKI9	truA
A7HPQ3	truA
Q9FHB6	DTX16
Q6FJV1	VAC8
O66585	aq_209
O66576	trpD
Q6ZPJ0	Tex2
P93841	ISPE
Q6NPP4	CAMTA2
Q9CXT8	Pmpcb
Q9LQY3	At1g26690
Q9LP77	RKL1
A1L258	d2hgdh
P55242	AGPS2
Q0D7I3	AGPL4
Q9C9X5	At1g68110
Q9FRH3	At1g25240
Q9FKJ0	At5g60570
O80977	VSR3
Q55CT0	tpp1
Q9EQ20	Aldh6a1
Q9FNV8	MYB114
Q9LZP9	CP12-2
Q9STX3	GID2
A0A178VBJ0	APSR1
Q5VRH9	PUB12
Q8VZ40	PUB14
Q04869	YMR315W
O57734	alaXL
Q9M2D9	MYB17
Q29AK2	GA17800
P23223	gp63
Q9SQT4	At3g06310
Q86CT3	RPS21
Q9LTR2	TGD2
Q6PAF4	nsmce1
P49105	PHI1
Q9XET4	RPS7
Q38890	KOR
Q8G228	BR0508
Q9URW6	SPAPJ696.02
Q7QAJ2	AGAP003678
Q9LEU7	CIPK5
O49852	GDCSPA
Q84L14	CBP20
Q9LK21	CXE11
Q9FKK7	XYLA
Q9SKP6	TIM
Q9BUL8	PDCD10
Q8VXZ0	NUDT20
Q9ZPN7	TUBB4
Q6PML9	SLC30A9
O82143	RPN10
O94444	rpn10
Q8VD33	Sgtb
Q80W98	Sgtb
P27608	DHAPS-1
Q9M4U5	HDT2
Q0WWQ1	ATG3
P47830	rpl27a
Q8CFE4	Scyl2
Q9XGM1	VHA-D
Q9FEA2	OVA3
P12301	PSBQ
